2026-01-04 13:45:26.479 [background-preinit] INFO  org.hibernate.validator.internal.util.Version:21 - HV000001: Hibernate Validator 8.0.3.Final
2026-01-04 13:45:26.643 [main] INFO  org.jeecg.JeecgGatewayApplication:53 - Starting JeecgGatewayApplication using Java 17.0.17 with PID 56212 (D:\software\jeecgboot\JeecgBoot-3.9.0\jeecg-boot\jeecg-server-cloud\jeecg-cloud-gateway\target\classes started by s1362 in D:\software\jeecgboot\JeecgBoot-3.9.0\jeecg-boot)
2026-01-04 13:45:26.645 [main] INFO  org.jeecg.JeecgGatewayApplication:652 - No active profile set, falling back to 1 default profile: "default"
2026-01-04 13:45:26.718 [main] INFO  c.a.cloud.nacos.configdata.NacosConfigDataLoader:68 - [Nacos Config] Load config[dataId=jeecg-gateway-dev.yaml, group=DEFAULT_GROUP] success
2026-01-04 13:45:28.526 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:294 - Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-04 13:45:28.531 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:145 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-01-04 13:45:28.571 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:213 - Finished Spring Data repository scanning in 19 ms. Found 0 Redis repository interfaces.
2026-01-04 13:45:28.849 [main] INFO  o.springframework.cloud.context.scope.GenericScope:280 - BeanFactory id=46fa0903-526c-3910-9354-3b5d8e6c77f8
2026-01-04 13:45:31.392 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator:89 - Loaded RoutePredicateFactory [After]
2026-01-04 13:45:31.392 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator:89 - Loaded RoutePredicateFactory [Before]
2026-01-04 13:45:31.392 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator:89 - Loaded RoutePredicateFactory [Between]
2026-01-04 13:45:31.392 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator:89 - Loaded RoutePredicateFactory [Cookie]
2026-01-04 13:45:31.393 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator:89 - Loaded RoutePredicateFactory [Header]
2026-01-04 13:45:31.394 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator:89 - Loaded RoutePredicateFactory [Host]
2026-01-04 13:45:31.394 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator:89 - Loaded RoutePredicateFactory [Method]
2026-01-04 13:45:31.394 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator:89 - Loaded RoutePredicateFactory [Path]
2026-01-04 13:45:31.394 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator:89 - Loaded RoutePredicateFactory [Query]
2026-01-04 13:45:31.394 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator:89 - Loaded RoutePredicateFactory [ReadBody]
